,,,,,,,,Team,Captains,qualification rate,,,,,,
,,,,,,,,Kings XI Punjab,11,0.166666667,,,,,,
Count of name,,,,,,,,Delhi Capitals,10,0.333333333,,,,,,
team,Total,,,,,,,Sunrisers Hyderabad,7,0.714285714,,,,,,
Kings XI Punjab,11,,,,,,,Mumbai Indians,7,0.666666667,,Pune Warriors India,6,,,qualification rate
Delhi Capitals,10,,,,,,,Royal Challengers Bangalore,6,0.416666667,,Gujarat Lions,2,,Chennai Super Kings,1
Sunrisers Hyderabad,7,,,,,,,Rajasthan Royals,5,0.4,,Kochi Tuskers Kerala,2,,Delhi Capitals,0.333333333
Mumbai Indians,7,,,,,,,Kolkata Knight Riders,4,0.5,,Rising Pune Supergiant,1,,Kings XI Punjab,0.166666667
Pune Warriors India,6,,,,,,,Chennai Super Kings,2,1,,Rising Pune Supergiants,1,,Kolkata Knight Riders,0.5
Royal Challengers Bangalore,6,,,,,,,,,,,Rising Pune Super Giants,1,,Mumbai Indians,0.666666667
Rajasthan Royals,5,,,,,,,,,,,Deccan Chargers,4,,Rajasthan Royals,0.4
Deccan Chargers,4,,,,,,,,,,,,,,Royal Challengers Bangalore,0.416666667
Kolkata Knight Riders,4,,,,,,,,,,,,,,Sunrisers Hyderabad,0.714285714
Gujarat Lions,2,,,,,,,,,,,,,,,
Kochi Tuskers Kerala,2,,,,,,,,,,,,,,,
Chennai Super Kings,2,,,,,,,,,,,,,,,
Rising Pune Supergiant,1,,,,,,,,,,,,,,,
Rising Pune Supergiants,1,,,,,,,,,,,,,,,
Rising Pune Super Giants,1,,,,,,,,,,,,,,,
Grand Total,69,,,,,,,,,,,,,,,
