id,year,team1,team2,match_result,match_winner,toss_winner,action
1,2018,Mumbai Indians,Chennai Super Kings,Normal,Chennai Super Kings,Chennai Super Kings,field
2,2018,Kings XI Punjab,Delhi Capitals,Normal,Kings XI Punjab,Kings XI Punjab,field
3,2018,Kolkata Knight Riders,Royal Challengers Bangalore,Normal,Kolkata Knight Riders,Kolkata Knight Riders ,field
4,2018,Sunrisers Hyderabad,Rajasthan Royals,Normal,Sunrisers Hyderabad,Sunrisers Hyderabad,field
5,2018,Chennai Super Kings,Kolkata Knight Riders,Normal,Chennai Super Kings,Chennai Super Kings,field
6,2018,Rajasthan Royals,Delhi Capitals,Normal,Rajasthan Royals,Delhi Daredevils,field
7,2018,Sunrisers Hyderabad,Mumbai Indians,Normal,Sunrisers Hyderabad,Sunrisers Hyderabad,field
8,2018,Royal Challengers Bangalore,Kings XI Punjab,Normal,Royal Challengers Bangalore,Royal Challengers Bangalore,field
9,2018,Mumbai Indians,Delhi Capitals,Normal,Delhi Capitals,Delhi Daredevils,field
10,2018,Kolkata Knight Riders,Sunrisers Hyderabad,Normal,Sunrisers Hyderabad,Sunrisers Hyderabad,field
11,2018,Royal Challengers Bangalore,Rajasthan Royals,Normal,Rajasthan Royals,Royal Challengers Bangalore,field
12,2018,Kings XI Punjab,Chennai Super Kings,Normal,Kings XI Punjab,Chennai Super Kings,field
13,2018,Kolkata Knight Riders,Delhi Capitals,Normal,Kolkata Knight Riders,Delhi Daredevils,field
14,2018,Mumbai Indians,Royal Challengers Bangalore,Normal,Mumbai Indians,Royal Challengers Bangalore,field
15,2018,Rajasthan Royals,Kolkata Knight Riders,Normal,Kolkata Knight Riders,Kolkata Knight Riders,field
16,2018,Kings XI Punjab,Sunrisers Hyderabad,Normal,Kings XI Punjab,Kings XI Punjab,bat
17,2018,Chennai Super Kings,Rajasthan Royals,Normal,Chennai Super Kings,Rajasthan Royals,field
18,2018,Kolkata Knight Riders,Kings XI Punjab,Normal,Kings XI Punjab,Kings XI Punjab,field
19,2018,Royal Challengers Bangalore,Delhi Capitals,Normal,Royal Challengers Bangalore,Royal Challengers Bangalore,field
20,2018,Sunrisers Hyderabad,Chennai Super Kings,Normal,Chennai Super Kings,Sunrisers Hyderabad,field
21,2018,Rajasthan Royals,Mumbai Indians,Normal,Rajasthan Royals,Mumbai Indians,bat
22,2018,Delhi Capitals,Kings XI Punjab,Normal,Kings XI Punjab,Delhi Daredevils,field
23,2018,Mumbai Indians,Sunrisers Hyderabad,Normal,Sunrisers Hyderabad,Mumbai Indians,field
24,2018,Royal Challengers Bangalore,Chennai Super Kings,Normal,Chennai Super Kings,Chennai Super Kings,field
25,2018,Sunrisers Hyderabad,Kings XI Punjab,Normal,Sunrisers Hyderabad,Kings XI Punjab,field
26,2018,Delhi Capitals,Kolkata Knight Riders,Normal,Delhi Capitals,Kolkata Knight Riders,field
27,2018,Chennai Super Kings,Mumbai Indians,Normal,Mumbai Indians,Mumbai Indians,field
28,2018,Rajasthan Royals,Sunrisers Hyderabad,Normal,Sunrisers Hyderabad,Sunrisers Hyderabad,bat
29,2018,Royal Challengers Bangalore,Kolkata Knight Riders,Normal,Kolkata Knight Riders,Kolkata Knight Riders,field
