id,year,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,2008,Sohail Tanvir,11,11,41.1,266,22,0,12.09,6.46,11.22,1,1
2,2008,Shane Warne,15,15,52,404,19,0,21.26,7.76,16.42,0,0
3,2008,Shanthakumaran Sreesanth,15,15,51.1,442,19,0,23.26,8.63,16.15,0,0
4,2008,Shane Watson,15,15,54.1,383,17,0,22.52,7.07,19.11,0,0
5,2008,Manpreet Gony,16,16,60,443,17,0,26.05,7.38,21.17,0,0
6,2008,Piyush Chawla,15,15,46.5,389,17,0,22.88,8.30,16.52,0,0
7,2008,Albie Morkel,13,13,48,399,17,0,23.47,8.31,16.94,1,0
8,2008,Yo Mahesh,11,11,42.1,370,16,0,23.12,8.77,15.81,1,0
9,2008,Irfan Pathan,14,14,53,350,15,0,23.33,6.60,21.20,0,0
10,2008,MF Maharoof,10,10,36,249,15,0,16.60,6.91,14.40,0,0
11,2008,RP Singh,14,14,51.2,442,15,0,29.46,8.61,20.53,0,0
12,2008,Munaf Patel,15,15,55,420,14,0,30.00,7.63,23.57,0,0
13,2008,Siddharth Trivedi,15,15,48,399,13,0,30.69,8.31,22.15,0,0
14,2008,Zaheer Khan,11,11,42,357,13,0,27.46,8.50,19.38,0,0
15,2008,Glenn McGrath,14,14,54,357,12,0,29.75,6.61,27.00,1,0
16,2008,Ashish Nehra,14,14,44.5,348,12,0,29.00,7.76,22.41,0,0
17,2008,Umar Gul,6,6,22.3,184,12,0,15.33,8.17,11.25,1,0
18,2008,Shaun Pollock,13,13,46,301,11,0,27.36,6.54,25.09,0,0
19,2008,Muttiah Muralitharan,15,15,58,404,11,0,36.72,6.96,31.63,0,0
20,2008,Amit Mishra,6,6,19.5,142,11,0,12.90,7.15,10.81,0,1
21,2008,Pragyan Ojha,13,12,37,284,11,0,25.81,7.67,20.18,0,0
22,2008,Dhawal Kulkarni,10,10,29.3,236,11,0,21.45,8.00,16.09,0,0
23,2008,Dwayne Bravo,9,9,28.3,232,11,0,21.09,8.14,15.54,0,0
24,2008,Praveen Kumar,13,13,44.4,366,11,0,33.27,8.19,24.36,0,0
25,2008,Lakshmipathy Balaji,9,9,33,286,11,0,26.00,8.66,18.00,0,1
26,2008,VRV Singh,13,13,48,420,11,0,38.18,8.75,26.18,0,0
27,2008,Dale Steyn,10,10,38,252,10,0,25.20,6.63,22.80,0,0
28,2008,Dilhara Fernando,5,5,20,160,10,0,16.00,8.00,12.00,1,0
29,2008,Shahid Afridi,10,10,30,225,9,0,25.00,7.50,20.00,0,0
30,2008,Ashok Dinda,13,12,38,258,8,0,32.25,6.78,28.50,0,0
31,2008,Ishant Sharma,13,13,43.1,331,8,0,41.37,7.66,32.37,0,0
32,2008,Ajit Agarkar,9,9,26,207,8,0,25.87,7.96,19.50,0,0
33,2008,Yusuf Pathan,16,13,28.1,230,8,0,28.75,8.16,21.12,0,0
34,2008,Mohammad Asif,8,8,32,296,8,0,37.00,9.25,24.00,0,0
35,2008,Joginder Sharma,8,7,24.4,239,8,0,29.87,9.68,18.50,0,0
36,2008,Makhaya Ntini,9,9,35,242,7,0,34.57,6.91,30.00,1,0
37,2008,Anil Kumble,10,10,38.2,304,7,0,43.42,7.93,32.85,0,0
38,2008,James Hopes,11,11,28,276,7,0,39.42,9.85,24.00,0,0
39,2008,P Amarnath,6,6,22,236,7,0,33.71,10.72,18.85,0,0
40,2008,Sourav Ganguly,13,7,20,128,6,0,21.33,6.40,20.00,0,0
41,2008,Rajat Bhatia,9,9,22,183,6,0,30.50,8.31,22.00,0,0
42,2008,Laxmi Ratan Shukla,13,9,12,124,6,0,20.66,10.33,12.00,0,0
43,2008,Dwayne Smith,4,4,11,83,5,0,16.60,7.54,13.20,0,0
44,2008,Shoaib Akhtar,3,3,7,54,5,0,10.80,7.71,8.40,1,0
45,2008,Vinay Kumar,8,8,23,182,5,0,36.40,7.91,27.60,0,0
46,2008,Harbhajan Singh,3,3,10,82,5,0,16.40,8.20,12.00,0,0
47,2008,RR Raje,6,6,16.2,137,5,0,27.40,8.38,19.60,0,0
48,2008,Chaminda Vaas,5,5,17,145,5,0,29.00,8.52,20.40,0,0
49,2008,Pradeep Sangwan,7,7,24,215,5,0,43.00,8.95,28.80,0,0
50,2008,Brett Lee,4,4,16,112,4,0,28.00,7.00,24.00,0,0
51,2008,Sanath Jayasuriya,14,8,21,159,4,0,39.75,7.57,31.50,0,0
52,2008,DP Vijaykumar,9,9,25.2,199,4,0,49.75,7.85,38.00,0,0
53,2008,SB Bangar,11,9,25,219,4,0,54.75,8.76,37.50,0,0
54,2008,Jacques Kallis,11,11,34.2,311,4,0,77.75,9.05,51.50,0,0
55,2008,Dominic Thornely,6,4,7,40,3,0,13.33,5.71,14.00,0,0
56,2008,Scott Styris,8,8,27,199,3,0,66.33,7.37,54.00,0,0
57,2008,Ramesh Powar,5,5,12,91,3,0,30.33,7.58,24.00,0,0
58,2008,Murali Kartik,6,5,14.4,127,3,0,42.33,8.65,29.33,0,0
59,2008,Yuvraj Singh,15,6,9,83,3,0,27.66,9.22,18.00,0,0
60,2008,Jacob Oram,4,4,16,149,3,0,49.66,9.31,32.00,0,0
61,2008,Gajendra Singh,4,4,14,141,3,0,47.00,10.07,28.00,0,0
62,2008,Virender Sehwag,14,7,11,133,3,0,44.33,12.09,22.00,0,0
63,2008,Daniel Vettori,2,2,8,54,2,0,27.00,6.75,24.00,0,0
64,2008,Dimitri Mascarenhas,1,1,4,29,2,0,14.50,7.25,12.00,0,0
65,2008,Balachandra Akhil,7,6,17.2,134,2,0,67.00,7.73,52.00,0,0
66,2008,Virat Kohli,13,4,7.4,61,2,0,30.50,7.95,23.00,0,0
67,2008,DNT Zoysa,3,3,11,99,2,0,49.50,9.00,33.00,0,0
