id,year,Team,Pld,Won,Lost,Tied,N/R,Net RR,For,Against,Pts
1,2008,Rajasthan Royals,14,11,3,0,0,+0.632,2245/261.1,2153/270.2,22
2,2008,Kings XI Punjab,14,10,4,0,0,+0.509,2352/259.5,2271/265.5,20
3,2008,Chennai Super Kings,14,8,6,0,0,-0.192,2241/264.2,2195/253.1,16
4,2008,Delhi Capitals,14,7,6,0,1,+0.342,2001/233.2,2031/246.4,15
5,2008,Mumbai Indians,14,7,7,0,0,+0.570,2080/249.1,2096/269.3,14
6,2008,Kolkata Knight Riders,14,6,7,0,1,-0.147,1845/242.4,1718/221.4,13
7,2008,Royal Challengers Bangalore,14,4,10,0,0,-1.160,1983/272.4,2205/261.3,8
8,2008,Deccan Chargers,14,2,12,0,0,-0.467,2229/270,2307/264.3,4
9,2009,Delhi Capitals,14,10,4,0,0,+0.311,1978/255.2,1953/262.4,20
10,2009,Chennai Super Kings,14,8,5,0,1,+0.951,2086/255.3,1855/257.1,17
11,2009,Royal Challengers Bangalore,14,8,6,0,0,-0.191,1994/276,2027/273.2,16
12,2009,Deccan Chargers,14,7,7,0,0,+0.203,2111/272.4,2097/278.1,14
13,2009,Kings XI Punjab,14,7,7,0,0,-0.483,1787/251.2,1887/248.3,14
14,2009,Rajasthan Royals,14,6,7,0,1,-0.352,1688/253.1,1810/257.5,13
15,2009,Mumbai Indians,14,5,8,0,1,+0.297,1897/256.2,1802/253.4,11
16,2009,Kolkata Knight Riders,14,3,10,0,1,-0.789,1757/248.5,1867/237.5,7
17,2010,Mumbai Indians,14,10,4,0,0,+1.084,2408/277,2100/276,20
18,2010,Deccan Chargers,14,8,6,0,0,-0.297,2188/277.4,2254/275.4,16
19,2010,Chennai Super Kings,14,7,7,0,0,+0.274,2285/271.1,2257/276.5,14
20,2010,Royal Challengers Bangalore,14,7,7,0,0,+0.219,2166/260.4,2245/277.3,14
21,2010,Delhi Capitals,14,7,7,0,0,+0.021,2155/275.4,2166/277.5,14
22,2010,Kolkata Knight Riders,14,7,7,0,0,-0.341,2144/273,2192/267.3,14
23,2010,Rajasthan Royals,14,6,8,0,0,-0.514,2179/270.4,2224/259.4,12
24,2010,Kings XI Punjab,14,4,10,0,0,-0.478,2278/276.2,2365/271.1,8
25,2011,Royal Challengers Bangalore,14,9,4,0,1,+0.326,1962/237,2000/251.3,19
26,2011,Chennai Super Kings,14,9,5,0,0,+0.443,2118/265.1,1978/262.1,18
27,2011,Mumbai Indians,14,9,5,0,0,+0.040,1998/275.2,1951/270.2,18
28,2011,Kolkata Knight Riders,14,8,6,0,0,+0.433,1888/249.2,1861/260.4,16
29,2011,Kings XI Punjab,14,7,7,0,0,-0.051,2224/275.4,2173/267.4,14
30,2011,Rajasthan Royals,14,6,7,0,1,-0.691,1687/242.2,1801/235.2,13
31,2011,Deccan Chargers,14,6,8,0,0,+0.222,2140/279.2,2037/273.5,12
32,2011,Kochi Tuskers Kerala,14,6,8,0,0,-0.214,1901/256.2,1989/260.4,12
33,2011,Pune Warriors India,14,4,9,0,1,-0.134,1775/247.3,1858/254.2,9
34,2011,Delhi Capitals,14,4,9,0,1,-0.448,2031/258.2,2076/249.5,9
35,2012,Delhi Capitals,16,11,5,0,0,+0.617,2365/283.5,2361/306,22
36,2012,Kolkata Knight Riders,16,10,5,0,1,+0.561,2150/285.1,2032/291.1,21
37,2012,Mumbai Indians,16,10,6,0,0,-0.100,2313/312.3,2343/312.2,20
38,2012,Chennai Super Kings,16,8,7,0,1,+0.100,2232/293.3,2144/285.4,17
39,2012,Royal Challengers Bangalore,16,8,7,0,1,-0.022,2472/296.2,2505/299.3,17
40,2012,Kings XI Punjab,16,8,8,0,0,-0.216,2390/313.3,2455/313.1,16
41,2012,Rajasthan Royals,16,7,9,0,0,+0.201,2516/316,2402/309.3,14
42,2012,Deccan Chargers,16,4,11,0,1,-0.509,2312/298.4,2405/291.3,9
43,2012,Pune Warriors India,16,4,12,0,0,-0.551,2321/319.2,2424/310,8
44,2013,Chennai Super Kings,16,11,5,0,0,+0.530,2461/303.5,2310/305.1,22
45,2013,Mumbai Indians,16,11,5,0,0,+0.441,2514/318.1,2350/315,22
46,2013,Rajasthan Royals,16,10,6,0,0,+0.322,2405/310.5,2326/313.4,20
47,2013,Sunrisers Hyderabad,16,10,6,0,0,+0.003,2166/308.5,2206/314.4,20
48,2013,Royal Challengers Bangalore,16,9,7,0,0,+0.457,2571/301,2451/303.1,18
49,2013,Kings XI Punjab,16,8,8,0,0,+0.226,2428/305.2,2417/312.5,16
50,2013,Kolkata Knight Riders,16,6,10,0,0,-0.095,2290/313.4,2316/313.1,12
51,2013,Pune Warriors India,16,4,12,0,0,-1.006,2262/318.4,2519/310.5,8
52,2013,Delhi Capitals,16,3,13,0,0,-0.848,2234/314.5,2436/306.4,6
53,2014,Kings XI Punjab,14,11,3,0,0,+0.968,2427/268.3,2229/276.1,22
54,2014,Kolkata Knight Riders,14,9,5,0,0,+0.418,2125/264,2110/276.3,18
