id,year,team1,team2,winner,action
1,2018,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field
2,2018,Kings XI Punjab,Delhi Capitals,Kings XI Punjab,field
3,2018,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders ,field
4,2018,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field
5,2018,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field
6,2018,Rajasthan Royals,Delhi Capitals,Delhi Daredevils,field
7,2018,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field
8,2018,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,field
9,2018,Mumbai Indians,Delhi Capitals,Delhi Daredevils,field
10,2018,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field
11,2018,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field
12,2018,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field
13,2018,Kolkata Knight Riders,Delhi Capitals,Delhi Daredevils,field
14,2018,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field
15,2018,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field
16,2018,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat
17,2018,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field
18,2018,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field
19,2018,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field
20,2018,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field
21,2018,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat
22,2018,Delhi Capitals,Kings XI Punjab,Delhi Daredevils,field
23,2018,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field
24,2018,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field
25,2018,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field
26,2018,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field
27,2018,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field
28,2018,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat
29,2018,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field
30,2018,Chennai Super Kings,Delhi Capitals,Delhi Daredevils,field
31,2018,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field
32,2018,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field
33,2018,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field
34,2018,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field
35,2018,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field
36,2018,Sunrisers Hyderabad,Delhi Capitals,Delhi Daredevils,bat
37,2018,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field
38,2018,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field
39,2018,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field
40,2018,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat
